UpdateDegree,DegreeType
A.A.S.-AUTOMOTIVE,Associate's
A.A.S.-B.B.A,Associate's
A.A.S.-BUS/SMALL BUSINES,Associate's
A.A.S.-BUSINESS,Associate's
A.A.S.-BUSINESS TECH/MANAGEMENT,Associate's
A.A.S.-COMP AID DESGN,Associate's
A.A.S.-COMP AID DESIGN,Associate's
A.A.S.-COMP SYSTEM TECH,Associate's
A.A.S.-CORRECTIONS,Associate's
A.A.S.-EARLY CHILD DEV,Associate's
A.A.S.-ELEC ENGINEER TEC,Associate's
A.A.S.-ELECTRONICS,Associate's
A.A.S.-ENVIRON MANAGEMNT,Associate's
A.A.S.-HOSPITALITY MNGMT,Associate's
A.A.S.-HUMAN SERVICES,Associate's
A.A.S.-INSTRUMENTATION,Associate's
A.A.S.-MACHINE TOOL,Associate's
A.A.S.-MARKETING,Associate's
A.A.S.-MARKETING/SM BUS,Associate's
A.A.S.-NURSING,Associate's
A.A.S.-OFF SYS/MED OFF S,Associate's
A.A.S.-OFFICE SYS/LEGAL,Associate's
A.A.S.-OFFICE SYSTEM/SEC,Associate's
A.A.S.-OFFICE/ADM ASST,Associate's
A.A.S.-PC SOFTWARE SPEC.,Associate's
A.A.S.-PULP & PAPER TECH,Associate's
A.A.S.-SOFTWARE APPLIC,Associate's
A.A.S.-SOFTWARE NETWORK,Associate's
A.A.S.-WATER RESRC MNGMT,Associate's
A.A.S.OCCUPATIONAL DEVELOPMENT,Associate's
A.A.T.,Associate's
A.AP.S. DEGREE,Associate's
A.B. (BACHELOR OF ARTS),Associate's
A.B. BIOLOGY,Associate's
A.B. BUSINESS ADMINISTRATION,Associate's
A.B. DOUBLE MAJOR,Associate's
A.B. ENGLISH,Associate's
A.B. MAJOR IN BIOLOGY,Associate's
A.B. W/ DISTINCTION,Associate's
A.B. WITH DIP IN ELEM EDUC,Associate's
A.B. WITH HIGH HONORS,Associate's
A.B.A.,Associate's
A.B.A. DEGREE,Associate's
A.B.A. DOUBLE MAJOR,Associate's
A.B.DEGREE,Associate's
A.B.S.,Associate's
A.B.T.,Associate's
A.G.S. DEGREE,Associate's
A.S.,Associate's
A.S.  DATA PROCESSING,Associate's
A.S. APPLIED SCIENCE,Associate's
A.S. ARCHITECTURAL ENG TECH,Associate's
A.S. ASSOCIATE IN ACCOUNTING,Associate's
A.S. ASSOCIATE IN SCIENCE,Associate's
A.S. BUSINESS TECH,Associate's
A.S. CIVIL ENGINEERING TECH,Associate's
